scalar,RGB_r,RGB_g,RGB_b
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0019569472,0.0024461840,0.0015287671,0.0009735812
0.0039138943,0.0048923679,0.0030575342,0.0019471624
0.0058708415,0.0073385519,0.0045863014,0.0029207436
0.0078277886,0.0097847358,0.0061150685,0.0038943249
0.0097847358,0.0122309198,0.0076438356,0.0048679061
0.0117416830,0.0146771037,0.0091726027,0.0058414873
0.0136986301,0.0171232877,0.0107013699,0.0068150685
0.0156555773,0.0195694716,0.0122301370,0.0077886497
0.0176125245,0.0220156556,0.0137589041,0.0087622309
0.0195694716,0.0244618395,0.0152876712,0.0097358121
0.0215264188,0.0269080235,0.0168164384,0.0107093933
0.0234833659,0.0293542074,0.0183452055,0.0116829746
0.0254403131,0.0318003914,0.0198739726,0.0126565558
0.0273972603,0.0342465753,0.0214027397,0.0136301370
0.0293542074,0.0366927593,0.0229315068,0.0146037182
0.0313111546,0.0391389432,0.0244602740,0.0155772994
0.0332681018,0.0415851272,0.0259890411,0.0165508806
0.0352250489,0.0440313112,0.0275178082,0.0175244618
0.0371819961,0.0464774951,0.0290465753,0.0184980431
0.0391389432,0.0489236791,0.0305753425,0.0194716243
0.0410958904,0.0513698630,0.0321041096,0.0204452055
0.0430528376,0.0538160470,0.0336328767,0.0214187867
0.0450097847,0.0562622309,0.0351616438,0.0223923679
0.0469667319,0.0587084149,0.0366904110,0.0233659491
0.0489236791,0.0611545988,0.0382191781,0.0243395303
0.0508806262,0.0636007828,0.0397479452,0.0253131115
0.0528375734,0.0660469667,0.0412767123,0.0262866928
0.0547945205,0.0684931507,0.0428054795,0.0272602740
0.0567514677,0.0709393346,0.0443342466,0.0282338552
0.0587084149,0.0733855186,0.0458630137,0.0292074364
0.0606653620,0.0758317025,0.0473917808,0.0301810176
0.0626223092,0.0782778865,0.0489205479,0.0311545988
0.0645792564,0.0807240705,0.0504493151,0.0321281800
0.0665362035,0.0831702544,0.0519780822,0.0331017613
0.0684931507,0.0856164384,0.0535068493,0.0340753425
0.0704500978,0.0880626223,0.0550356164,0.0350489237
0.0724070450,0.0905088063,0.0565643836,0.0360225049
0.0743639922,0.0929549902,0.0580931507,0.0369960861
0.0763209393,0.0954011742,0.0596219178,0.0379696673
0.0782778865,0.0978473581,0.0611506849,0.0389432485
0.0802348337,0.1002935421,0.0626794521,0.0399168297
0.0821917808,0.1027397260,0.0642082192,0.0408904110
0.0841487280,0.1051859100,0.0657369863,0.0418639922
0.0861056751,0.1076320939,0.0672657534,0.0428375734
0.0880626223,0.1100782779,0.0687945205,0.0438111546
0.0900195695,0.1125244618,0.0703232877,0.0447847358
0.0919765166,0.1149706458,0.0718520548,0.0457583170
0.0939334638,0.1174168297,0.0733808219,0.0467318982
0.0958904110,0.1198630137,0.0749095890,0.0477054795
0.0978473581,0.1223091977,0.0764383562,0.0486790607
0.0998043053,0.1247553816,0.0779671233,0.0496526419
0.1017612524,0.1272015656,0.0794958904,0.0506262231
0.1037181996,0.1296477495,0.0810246575,0.0515998043
0.1056751468,0.1320939335,0.0825534247,0.0525733855
0.1076320939,0.1345401174,0.0840821918,0.0535469667
0.1095890411,0.1369863014,0.0856109589,0.0545205479
0.1115459883,0.1394324853,0.0871397260,0.0554941292
0.1135029354,0.1418786693,0.0886684932,0.0564677104
0.1154598826,0.1443248532,0.0901972603,0.0574412916
0.1174168297,0.1467710372,0.0917260274,0.0584148728
0.1193737769,0.1492172211,0.0932547945,0.0593884540
0.1213307241,0.1516634051,0.0947835616,0.0603620352
0.1232876712,0.1541095890,0.0963123288,0.0613356164
0.1252446184,0.1565557730,0.0978410959,0.0623091977
0.1272015656,0.1590019569,0.0993698630,0.0632827789
0.1291585127,0.1614481409,0.1008986301,0.0642563601
0.1311154599,0.1638943249,0.1024273973,0.0652299413
0.1330724070,0.1663405088,0.1039561644,0.0662035225
0.1350293542,0.1687866928,0.1054849315,0.0671771037
0.1369863014,0.1712328767,0.1070136986,0.0681506849
0.1389432485,0.1736790607,0.1085424658,0.0691242661
0.1409001957,0.1761252446,0.1100712329,0.0700978474
0.1428571429,0.1785714286,0.1116000000,0.0710714286
