scalar,RGB_r,RGB_g,RGB_b
0,0,0,1
0.00195695,0,0.00782779,1
0.00391389,0,0.0156556,1
0.00587084,0,0.0234834,1
0.00782779,0,0.0313112,1
0.00978474,0,0.0391389,1
0.0117417,0,0.0469667,1
0.0136986,0,0.0547945,1
0.0156556,0,0.0626223,1
0.0176125,0,0.0704501,1
0.0195695,0,0.0782779,1
0.0215264,0,0.0861057,1
0.0234834,0,0.0939335,1
0.0254403,0,0.101761,1
0.0273973,0,0.109589,1
0.0293542,0,0.117417,1
0.0313112,0,0.125245,1
0.0332681,0,0.133072,1
0.035225,0,0.1409,1
0.037182,0,0.148728,1
0.0391389,0,0.156556,1
0.0410959,0,0.164384,1
0.0430528,0,0.172211,1
0.0450098,0,0.180039,1
0.0469667,0,0.187867,1
0.0489237,0,0.195695,1
0.0508806,0,0.203523,1
0.0528376,0,0.21135,1
0.0547945,0,0.219178,1
0.0567515,0,0.227006,1
0.0587084,0,0.234834,1
0.0606654,0,0.242661,1
0.0626223,0,0.250489,1
0.0645793,0,0.258317,1
0.0665362,0,0.266145,1
0.0684932,0,0.273973,1
0.0704501,0,0.2818,1
0.072407,0,0.289628,1
0.074364,0,0.297456,1
0.0763209,0,0.305284,1
0.0782779,0,0.313112,1
0.0802348,0,0.320939,1
0.0821918,0,0.328767,1
0.0841487,0,0.336595,1
0.0861057,0,0.344423,1
0.0880626,0,0.35225,1
0.0900196,0,0.360078,1
0.0919765,0,0.367906,1
0.0939335,0,0.375734,1
0.0958904,0,0.383562,1
0.0978474,0,0.391389,1
0.0998043,0,0.399217,1
0.101761,0,0.407045,1
0.103718,0,0.414873,1
0.105675,0,0.422701,1
0.107632,0,0.430528,1
0.109589,0,0.438356,1
0.111546,0,0.446184,1
0.113503,0,0.454012,1
0.11546,0,0.46184,1
0.117417,0,0.469667,1
0.119374,0,0.477495,1
0.121331,0,0.485323,1
0.123288,0,0.493151,1
0.125245,0,0.500978,1
0.127202,0,0.508806,1
0.129159,0,0.516634,1
0.131115,0,0.524462,1
0.133072,0,0.53229,1
0.135029,0,0.540117,1
0.136986,0,0.547945,1
0.138943,0,0.555773,1
0.1409,0,0.563601,1
0.142857,0,0.571429,1
0.144814,0,0.579256,1
0.146771,0,0.587084,1
0.148728,0,0.594912,1
0.150685,0,0.60274,1
0.152642,0,0.610568,1
0.154599,0,0.618395,1
0.156556,0,0.626223,1
0.158513,0,0.634051,1
0.16047,0,0.641879,1
0.162427,0,0.649706,1
0.164384,0,0.657534,1
0.166341,0,0.665362,1
0.168297,0,0.67319,1
0.170254,0,0.681018,1
0.172211,0,0.688845,1
0.174168,0,0.696673,1
0.176125,0,0.704501,1
0.178082,0,0.712329,1
0.180039,0,0.720157,1
0.181996,0,0.727984,1
0.183953,0,0.735812,1
0.18591,0,0.74364,1
0.187867,0,0.751468,1
0.189824,0,0.759296,1
0.191781,0,0.767123,1
0.193738,0,0.774951,1
0.195695,0,0.782779,1
0.197652,0,0.790607,1
0.199609,0,0.798434,1
0.201566,0,0.806262,1
0.203523,0,0.81409,1
0.205479,0,0.821918,1
0.207436,0,0.829746,1
0.209393,0,0.837573,1
0.21135,0,0.845401,1
0.213307,0,0.853229,1
0.215264,0,0.861057,1
0.217221,0,0.868885,1
0.219178,0,0.876712,1
0.221135,0,0.88454,1
0.223092,0,0.892368,1
0.225049,0,0.900196,1
0.227006,0,0.908023,1
0.228963,0,0.915851,1
0.23092,0,0.923679,1
0.232877,0,0.931507,1
0.234834,0,0.939335,1
0.236791,0,0.947162,1
0.238748,0,0.95499,1
0.240705,0,0.962818,1
0.242661,0,0.970646,1
0.244618,0,0.978474,1
0.246575,0,0.986301,1
0.248532,0,0.994129,1
0.250489,0,1,0.998043
0.252446,0,1,0.990215
0.254403,0,1,0.982387
0.25636,0,1,0.97456
0.258317,0,1,0.966732
0.260274,0,1,0.958904
0.262231,0,1,0.951076
0.264188,0,1,0.943249
0.266145,0,1,0.935421
0.268102,0,1,0.927593
0.270059,0,1,0.919765
0.272016,0,1,0.911937
0.273973,0,1,0.90411
0.27593,0,1,0.896282
0.277886,0,1,0.888454
0.279843,0,1,0.880626
0.2818,0,1,0.872798
0.283757,0,1,0.864971
0.285714,0,1,0.857143
0.287671,0,1,0.849315
0.289628,0,1,0.841487
0.291585,0,1,0.833659
0.293542,0,1,0.825832
0.295499,0,1,0.818004
0.297456,0,1,0.810176
0.299413,0,1,0.802348
0.30137,0,1,0.794521
0.303327,0,1,0.786693
0.305284,0,1,0.778865
0.307241,0,1,0.771037
0.309198,0,1,0.763209
0.311155,0,1,0.755382
0.313112,0,1,0.747554
0.315068,0,1,0.739726
0.317025,0,1,0.731898
0.318982,0,1,0.72407
0.320939,0,1,0.716243
0.322896,0,1,0.708415
0.324853,0,1,0.700587
0.32681,0,1,0.692759
0.328767,0,1,0.684932
0.330724,0,1,0.677104
0.332681,0,1,0.669276
0.334638,0,1,0.661448
0.336595,0,1,0.65362
0.338552,0,1,0.645793
0.340509,0,1,0.637965
0.342466,0,1,0.630137
0.344423,0,1,0.622309
0.34638,0,1,0.614481
0.348337,0,1,0.606654
0.350294,0,1,0.598826
0.35225,0,1,0.590998
0.354207,0,1,0.58317
0.356164,0,1,0.575342
0.358121,0,1,0.567515
0.360078,0,1,0.559687
0.362035,0,1,0.551859
0.363992,0,1,0.544031
0.365949,0,1,0.536204
0.367906,0,1,0.528376
0.369863,0,1,0.520548
0.37182,0,1,0.51272
0.373777,0,1,0.504892
0.375734,0,1,0.497065
0.377691,0,1,0.489237
0.379648,0,1,0.481409
0.381605,0,1,0.473581
0.383562,0,1,0.465753
0.385519,0,1,0.457926
0.387476,0,1,0.450098
0.389432,0,1,0.44227
0.391389,0,1,0.434442
0.393346,0,1,0.426614
0.395303,0,1,0.418787
0.39726,0,1,0.410959
0.399217,0,1,0.403131
0.401174,0,1,0.395303
0.403131,0,1,0.387476
0.405088,0,1,0.379648
0.407045,0,1,0.37182
0.409002,0,1,0.363992
0.410959,0,1,0.356164
0.412916,0,1,0.348337
0.414873,0,1,0.340509
0.41683,0,1,0.332681
0.418787,0,1,0.324853
0.420744,0,1,0.317025
0.422701,0,1,0.309198
0.424658,0,1,0.30137
0.426614,0,1,0.293542
0.428571,0,1,0.285714
0.430528,0,1,0.277887
0.432485,0,1,0.270059
0.434442,0,1,0.262231
0.436399,0,1,0.254403
0.438356,0,1,0.246575
0.440313,0,1,0.238748
0.44227,0,1,0.23092
0.444227,0,1,0.223092
0.446184,0,1,0.215264
0.448141,0,1,0.207436
0.450098,0,1,0.199609
0.452055,0,1,0.191781
0.454012,0,1,0.183953
0.455969,0,1,0.176125
0.457926,0,1,0.168297
0.459883,0,1,0.16047
0.46184,0,1,0.152642
0.463796,0,1,0.144814
0.465753,0,1,0.136986
0.46771,0,1,0.129159
0.469667,0,1,0.121331
0.471624,0,1,0.113503
0.473581,0,1,0.105675
0.475538,0,1,0.0978474
0.477495,0,1,0.0900196
0.479452,0,1,0.0821918
0.481409,0,1,0.074364
0.483366,0,1,0.0665362
0.485323,0,1,0.0587084
0.48728,0,1,0.0508806
0.489237,0,1,0.0430528
0.491194,0,1,0.035225
0.493151,0,1,0.0273973
0.495108,0,1,0.0195695
0.497065,0,1,0.0117417
0.499022,0,1,0.00391389
0.500978,0.00391389,1,0
0.502935,0.0117417,1,0
0.504892,0.0195695,1,0
0.506849,0.0273973,1,0
0.508806,0.035225,1,0
0.510763,0.0430528,1,0
0.51272,0.0508806,1,0
0.514677,0.0587084,1,0
0.516634,0.0665362,1,0
0.518591,0.074364,1,0
0.520548,0.0821918,1,0
0.522505,0.0900196,1,0
0.524462,0.0978474,1,0
0.526419,0.105675,1,0
0.528376,0.113503,1,0
0.530333,0.121331,1,0
0.53229,0.129159,1,0
0.534247,0.136986,1,0
0.536204,0.144814,1,0
0.53816,0.152642,1,0
0.540117,0.16047,1,0
0.542074,0.168297,1,0
0.544031,0.176125,1,0
0.545988,0.183953,1,0
0.547945,0.191781,1,0
0.549902,0.199609,1,0
0.551859,0.207436,1,0
0.553816,0.215264,1,0
0.555773,0.223092,1,0
0.55773,0.23092,1,0
0.559687,0.238748,1,0
0.561644,0.246575,1,0
0.563601,0.254403,1,0
0.565558,0.262231,1,0
0.567515,0.270059,1,0
0.569472,0.277887,1,0
0.571429,0.285714,1,0
0.573386,0.293542,1,0
0.575342,0.30137,1,0
0.577299,0.309198,1,0
