scalar,RGB_r,RGB_g,RGB_b
0.0000000000,0.0653169640,0.0763885299,0.0942627644
0.0019569472,0.0671136107,0.0779564057,0.0955469150
0.0039138943,0.0688681748,0.0794989481,0.0968276890
0.0058708415,0.0705791600,0.0810176602,0.0981100280
0.0078277886,0.0722478830,0.0825136462,0.0993950263
0.0097847358,0.0738759618,0.0839878877,0.1006831851
0.0117416830,0.0754650365,0.0854412836,0.1019747755
0.0136986301,0.0770166914,0.0868746666,0.1032699539
0.0156555773,0.0785324284,0.0882888128,0.1045688111
0.0176125245,0.0800136606,0.0896844484,0.1058713978
0.0195694716,0.0814617127,0.0910622547,0.1071777381
0.0215264188,0.0828778245,0.0924228725,0.1084878376
0.0234833659,0.0842707230,0.0937705948,0.1098011670
0.0254403131,0.0856649756,0.0951193952,0.1111158699
0.0273972603,0.0870623100,0.0964705492,0.1124318212
0.0293542074,0.0884626771,0.0978240481,0.1137490560
0.0313111546,0.0898660326,0.0991798827,0.1150676044
0.0332681018,0.0912723364,0.1005380436,0.1163874916
0.0352250489,0.0926815517,0.1018985211,0.1177087389
0.0371819961,0.0940936444,0.1032613055,0.1190313647
0.0391389432,0.0955085831,0.1046263869,0.1203553846
0.0410958904,0.0969263383,0.1059937552,0.1216808120
0.0430528376,0.0983468823,0.1073634005,0.1230076584
0.0450097847,0.0997701892,0.1087353126,0.1243359335
0.0469667319,0.1011962341,0.1101094815,0.1256656455
0.0489236791,0.1026249939,0.1114858970,0.1269968017
0.0508806262,0.1040564461,0.1128645492,0.1283294079
0.0528375734,0.1054905696,0.1142454281,0.1296634691
0.0547945205,0.1069273438,0.1156285235,0.1309989894
0.0567514677,0.1083667493,0.1170138255,0.1323359722
0.0587084149,0.1098087672,0.1184013244,0.1336744202
0.0606653620,0.1112533793,0.1197910101,0.1350143354
0.0626223092,0.1127005681,0.1211828730,0.1363557194
0.0645792564,0.1141503166,0.1225769032,0.1376985731
0.0665362035,0.1156026084,0.1239730913,0.1390428973
0.0684931507,0.1170574274,0.1253714274,0.1403886921
0.0704500978,0.1185147583,0.1267719023,0.1417359573
0.0724070450,0.1199745858,0.1281745063,0.1430846925
0.0743639922,0.1214368953,0.1295792301,0.1444348970
0.0763209393,0.1229016725,0.1309860645,0.1457865696
0.0782778865,0.1243689033,0.1323950002,0.1471397092
0.0802348337,0.1258385741,0.1338060280,0.1484943142
0.0821917808,0.1273106715,0.1352191390,0.1498503829
0.0841487280,0.1287851823,0.1366343240,0.1512079136
0.0861056751,0.1302620939,0.1380515742,0.1525669040
0.0880626223,0.1317413937,0.1394708807,0.1539273521
0.0900195695,0.1332230693,0.1408922347,0.1552892555
0.0919765166,0.1347071087,0.1423156276,0.1566526118
0.0939334638,0.1361934999,0.1437410508,0.1580174184
0.0958904110,0.1376822314,0.1451684957,0.1593836726
0.0978473581,0.1391732918,0.1465979538,0.1607513717
0.0998043053,0.1406666697,0.1480294167,0.1621205127
0.1017612524,0.1421623541,0.1494628761,0.1634910928
0.1037181996,0.1436603341,0.1508983238,0.1648631090
0.1056751468,0.1451605990,0.1523357516,0.1662365581
0.1076320939,0.1466631382,0.1537751514,0.1676114370
0.1095890411,0.1481679413,0.1552165151,0.1689877426
0.1115459883,0.1496749981,0.1566598347,0.1703654716
