x,y,z
0.064,0.008,0.012
0.064,0.004,0.012
0.06,0.008,0.012
0.07200000000000001,0.004,0.016
0.068,0.004,0.012
0.068,0.004,0.016
0.06,0.004,0.04
0.056,0.004,0.04
0.056,0.004,0.036000000000000004
0.052000000000000005,0.004,0.036000000000000004
0.096,0.0,0.028
0.076,0.004,0.02
0.124,-0.008,0.032
0.1,-0.004,0.028
0.184,-0.016,0.052000000000000005
0.08,0.0,0.024
0.108,-0.004,0.028
0.112,-0.004,0.032
0.136,-0.008,0.036000000000000004
0.10400000000000001,-0.004,0.028
0.124,-0.008,0.036000000000000004
0.132,-0.008,0.036000000000000004
0.16,-0.012,0.044
0.168,-0.016,0.048
0.108,-0.004,0.032
0.084,0.0,0.024
0.128,-0.008,0.036000000000000004
0.14400000000000002,-0.012,0.04
0.092,0.0,0.024
0.088,0.0,0.024
0.148,-0.012,0.04
0.116,-0.004,0.032
0.1,0.0,0.028
0.14,-0.008,0.04
0.164,-0.016,0.044
0.152,-0.012,0.04
0.12,-0.004,0.032
0.14400000000000002,-0.008,0.04
0.096,0.0,0.024
0.18,-0.016,0.048
0.156,-0.012,0.044
0.17200000000000001,-0.016,0.048
0.08,0.0,0.02
0.176,-0.016,0.048
0.184,-0.016,0.048
0.164,-0.012,0.044
0.092,0.0,0.028
0.12,-0.008,0.032
0.168,-0.016,0.044
0.076,0.0,0.02
0.192,-0.02,0.052000000000000005
0.136,-0.008,0.04
0.188,-0.02,0.052000000000000005
0.152,-0.012,0.044
0.188,-0.016,0.052000000000000005
0.076,0.0,0.024
0.14,-0.008,0.036000000000000004
0.156,-0.012,0.04
0.084,0.0,0.02
0.112,-0.004,0.028
0.08,0.004,0.02
0.1,0.0,0.024
0.128,-0.008,0.032
0.124,-0.004,0.032
0.116,-0.004,0.028
0.076,0.004,0.016
0.088,0.0,0.02
0.1,-0.004,0.024
0.10400000000000001,-0.004,0.024
0.132,-0.008,0.032
0.14400000000000002,-0.008,0.036000000000000004
0.17200000000000001,-0.016,0.044
0.092,0.0,0.02
0.08,0.004,0.016
0.168,-0.012,0.044
0.084,0.0,0.016
0.12,-0.004,0.028
0.108,-0.004,0.024
0.096,0.0,0.02
0.14400000000000002,-0.012,0.036000000000000004
0.08,0.0,0.016
0.148,-0.012,0.036000000000000004
0.16,-0.012,0.04
0.07200000000000001,0.004,0.012
0.136,-0.008,0.032
0.124,-0.004,0.028
0.14400000000000002,-0.012,0.084
0.1,-0.004,0.06
0.16,-0.016,0.092
0.068,0.0,0.04
0.084,0.0,0.052000000000000005
0.12,-0.008,0.068
0.148,-0.012,0.084
0.08,0.0,0.048
0.132,-0.012,0.076
0.092,-0.004,0.052000000000000005
0.07200000000000001,0.0,0.044
0.064,0.004,0.04
0.068,0.0,0.044
0.092,-0.004,0.056
0.096,-0.004,0.056
0.136,-0.012,0.08
0.108,-0.004,0.064
0.128,-0.012,0.076
0.084,0.0,0.048
0.088,0.0,0.052000000000000005
0.07200000000000001,0.0,0.04
0.116,-0.008,0.068
0.14,-0.012,0.08
0.076,0.0,0.044
0.136,-0.012,0.076
0.128,-0.008,0.076
0.112,-0.008,0.064
0.10400000000000001,-0.004,0.06
0.12,-0.008,0.07200000000000001
0.168,-0.016,0.096
0.124,-0.008,0.07200000000000001
0.068,0.004,0.04
0.128,-0.008,0.07200000000000001
0.152,-0.016,0.088
0.14400000000000002,-0.012,0.08
0.156,-0.016,0.092
0.1,-0.004,0.056
0.108,-0.004,0.06
0.156,-0.016,0.088
0.088,-0.004,0.052000000000000005
0.164,-0.016,0.096
0.076,0.0,0.048
0.108,-0.008,0.064
0.164,-0.016,0.092
0.112,-0.008,0.068
0.148,-0.016,0.084
0.17200000000000001,-0.02,0.096
0.068,0.004,0.044
0.124,-0.008,0.068
0.152,-0.016,0.084
0.116,-0.008,0.064
0.088,0.0,0.048
0.08,0.0,0.044
0.17200000000000001,-0.02,0.1
0.128,-0.012,0.07200000000000001
0.096,-0.004,0.052000000000000005
0.068,0.004,0.036000000000000004
0.132,-0.012,0.07200000000000001
0.168,-0.02,0.096
0.076,0.0,0.04
0.084,0.0,0.044
0.07200000000000001,0.004,0.04
0.10400000000000001,-0.004,0.056
0.16,-0.016,0.088
0.176,-0.02,0.1
0.108,-0.004,0.056
0.076,0.0,0.032
0.096,-0.004,0.04
0.12,-0.008,0.064
0.1,-0.004,0.044
0.088,0.0,0.044
0.07200000000000001,0.0,0.036000000000000004
0.07200000000000001,0.004,0.036000000000000004
0.08,0.0,0.032
0.12,-0.008,0.06
0.112,-0.004,0.052000000000000005
0.14400000000000002,-0.012,0.076
0.128,-0.008,0.068
0.088,0.0,0.04
0.076,0.0,0.028
0.112,-0.004,0.06
0.112,-0.008,0.06
0.096,-0.004,0.048
0.148,-0.012,0.08
0.1,-0.004,0.048
0.128,-0.008,0.064
0.096,-0.004,0.044
0.116,-0.008,0.056
0.08,0.0,0.04
0.084,0.0,0.032
0.08,0.0,0.028
0.076,0.0,0.036000000000000004
0.108,-0.004,0.052000000000000005
0.092,0.0,0.04
0.132,-0.008,0.064
0.08,0.0,0.036000000000000004
0.116,-0.008,0.06
0.10400000000000001,-0.004,0.052000000000000005
0.156,-0.016,0.084
0.152,-0.012,0.08
0.14,-0.012,0.076
0.084,0.0,0.04
0.10400000000000001,-0.004,0.044
0.124,-0.008,0.06
0.088,0.0,0.032
0.088,0.0,0.036000000000000004
0.092,0.0,0.044
0.07200000000000001,0.004,0.032
0.1,-0.004,0.04
0.136,-0.012,0.07200000000000001
0.168,-0.016,0.092
0.096,0.0,0.04
0.092,-0.004,0.048
0.136,-0.012,0.068
0.12,-0.008,0.056
0.132,-0.012,0.068
0.092,0.0,0.036000000000000004
0.07200000000000001,0.0,0.032
0.076,0.004,0.024
0.1,-0.004,0.052000000000000005
0.07200000000000001,0.004,0.028
0.132,-0.008,0.07200000000000001
0.112,-0.004,0.056
0.112,-0.008,0.056
0.132,-0.008,0.068
0.124,-0.008,0.064
0.10400000000000001,-0.004,0.048
0.108,-0.004,0.048
0.092,-0.004,0.044
0.152,-0.016,0.08
0.116,-0.008,0.052000000000000005
0.076,0.004,0.028
0.07200000000000001,0.004,0.024
0.084,0.0,0.036000000000000004
0.084,0.0,0.028
0.092,0.0,0.048
0.148,-0.012,0.076
0.112,-0.004,0.048
0.14,-0.012,0.07200000000000001
0.168,-0.016,0.07200000000000001
0.18,-0.02,0.092
0.152,-0.012,0.064
0.148,-0.012,0.064
0.184,-0.016,0.06
0.164,-0.012,0.052000000000000005
0.14400000000000002,-0.012,0.068
0.14,-0.012,0.068
0.168,-0.016,0.06
0.176,-0.016,0.064
0.136,-0.012,0.056
0.152,-0.012,0.056
0.176,-0.016,0.052000000000000005
0.152,-0.012,0.06
0.156,-0.016,0.068
0.124,-0.008,0.056
0.168,-0.016,0.08
0.176,-0.016,0.08
0.16,-0.012,0.052000000000000005
0.116,-0.008,0.044
0.188,-0.02,0.056
0.124,-0.008,0.052000000000000005
0.176,-0.02,0.08
0.196,-0.02,0.056
0.17200000000000001,-0.02,0.092
0.128,-0.008,0.06
0.192,-0.02,0.056
0.17200000000000001,-0.016,0.064
0.124,-0.008,0.048
0.132,-0.008,0.06
0.116,-0.004,0.04
0.136,-0.008,0.052000000000000005
0.108,-0.004,0.036000000000000004
0.164,-0.016,0.076
0.156,-0.012,0.048
0.184,-0.016,0.056
0.164,-0.016,0.084
0.168,-0.016,0.068
0.18,-0.016,0.068
0.18,-0.016,0.07200000000000001
0.14,-0.012,0.064
0.188,-0.02,0.068
0.124,-0.008,0.04
0.14,-0.012,0.052000000000000005
0.168,-0.016,0.076
0.192,-0.02,0.06
0.136,-0.012,0.064
0.132,-0.008,0.052000000000000005
0.14400000000000002,-0.012,0.07200000000000001
0.152,-0.012,0.076
0.16,-0.016,0.084
0.148,-0.012,0.068
0.16,-0.016,0.064
0.108,-0.004,0.044
0.168,-0.016,0.052000000000000005
0.12,-0.004,0.036000000000000004
0.14400000000000002,-0.012,0.052000000000000005
0.10400000000000001,-0.004,0.04
0.124,-0.008,0.044
0.184,-0.02,0.076
0.096,0.0,0.036000000000000004
0.152,-0.012,0.07200000000000001
0.14400000000000002,-0.012,0.044
0.152,-0.012,0.068
0.148,-0.012,0.06
0.10400000000000001,-0.004,0.036000000000000004
0.17200000000000001,-0.016,0.07200000000000001
0.16,-0.016,0.076
0.18,-0.016,0.06
0.132,-0.008,0.048
0.16,-0.016,0.07200000000000001
0.132,-0.008,0.044
0.14400000000000002,-0.012,0.056
0.088,0.0,0.028
0.16,-0.012,0.056
0.116,-0.004,0.044
0.136,-0.008,0.044
0.176,-0.02,0.084
0.17200000000000001,-0.016,0.088
0.16,-0.016,0.08
0.17200000000000001,-0.016,0.052000000000000005
0.17200000000000001,-0.016,0.092
0.128,-0.008,0.052000000000000005
0.12,-0.008,0.04
0.136,-0.008,0.06
0.17200000000000001,-0.016,0.084
0.092,0.0,0.032
0.18,-0.02,0.084
0.164,-0.016,0.08
0.188,-0.02,0.06
0.176,-0.016,0.06
0.18,-0.02,0.076
0.164,-0.012,0.048
0.132,-0.008,0.056
0.148,-0.012,0.048
0.12,-0.008,0.052000000000000005
0.156,-0.016,0.07200000000000001
0.17200000000000001,-0.016,0.06
0.164,-0.016,0.088
0.148,-0.012,0.052000000000000005
0.132,-0.008,0.04
0.14,-0.008,0.044
0.176,-0.02,0.092
0.108,-0.004,0.04
0.184,-0.02,0.06
0.14400000000000002,-0.012,0.048
0.148,-0.012,0.044
0.116,-0.004,0.048
0.164,-0.016,0.048
0.17200000000000001,-0.016,0.08
0.17200000000000001,-0.016,0.068
0.152,-0.012,0.048
0.112,-0.004,0.04
0.168,-0.016,0.064
0.156,-0.012,0.064
0.10400000000000001,-0.004,0.032
0.12,-0.008,0.048
0.14400000000000002,-0.012,0.064
0.18,-0.016,0.052000000000000005
0.16,-0.012,0.06
0.112,-0.004,0.044
0.176,-0.016,0.07200000000000001
0.176,-0.02,0.096
0.188,-0.02,0.064
0.116,-0.008,0.048
0.164,-0.016,0.056
0.152,-0.012,0.052000000000000005
0.16,-0.012,0.064
0.12,-0.008,0.044
0.176,-0.02,0.088
0.164,-0.016,0.052000000000000005
0.164,-0.016,0.06
0.156,-0.016,0.08
0.12,-0.008,0.036000000000000004
0.184,-0.02,0.07200000000000001
0.16,-0.016,0.068
0.192,-0.02,0.064
0.128,-0.008,0.044
0.14400000000000002,-0.012,0.06
0.116,-0.004,0.036000000000000004
0.17200000000000001,-0.016,0.056
0.1,-0.004,0.032
0.156,-0.012,0.06
0.176,-0.016,0.076
0.184,-0.02,0.084
0.184,-0.02,0.056
0.17200000000000001,-0.02,0.088
