1, 5853,  11705
11705, 17557,  23409
2, 5854,  11706
11706, 17558,  23410
3, 5855,  11707
11707, 17559,  23411
4, 5856,  11708
11708, 17560,  23412
5, 5857,  11709
11709, 17561,  23413
6, 5858,  11710
11710, 17562,  23414
7, 5859,  11711
11711, 17563,  23415
8, 5860,  11712
11712, 17564,  23416
9, 5861,  11713
11713, 17565,  23417
10, 5862,  11714
11714, 17566,  23418
11, 5863,  11715
11715, 17567,  23419
12, 5864,  11716
11716, 17568,  23420
13, 5865,  11717
11717, 17569,  23421
14, 5866,  11718
11718, 17570,  23422
15, 5867,  11719
11719, 17571,  23423
16, 5868,  11720
11720, 17572,  23424
17, 5869,  11721
11721, 17573,  23425
18, 5870,  11722
11722, 17574,  23426
19, 5871,  11723
11723, 17575,  23427
20, 5872,  11724
11724, 17576,  23428
21, 5873,  11725
11725, 17577,  23429
22, 5874,  11726
11726, 17578,  23430
23, 5875,  11727
11727, 17579,  23431
24, 5876,  11728
11728, 17580,  23432
25, 5877,  11729
11729, 17581,  23433
26, 5878,  11730
11730, 17582,  23434
27, 5879,  11731
11731, 17583,  23435
28, 5880,  11732
11732, 17584,  23436
29, 5881,  11733
11733, 17585,  23437
30, 5882,  11734
11734, 17586,  23438
31, 5883,  11735
11735, 17587,  23439
32, 5884,  11736
11736, 17588,  23440
33, 5885,  11737
11737, 17589,  23441
34, 5886,  11738
11738, 17590,  23442
35, 5887,  11739
11739, 17591,  23443
36, 5888,  11740
11740, 17592,  23444
37, 5889,  11741
11741, 17593,  23445
38, 5890,  11742
11742, 17594,  23446
39, 5891,  11743
11743, 17595,  23447
40, 5892,  11744
11744, 17596,  23448
41, 5893,  11745
11745, 17597,  23449
42, 5894,  11746
11746, 17598,  23450
43, 5895,  11747
11747, 17599,  23451
44, 5896,  11748
11748, 17600,  23452
45, 5897,  11749
11749, 17601,  23453
46, 5898,  11750
11750, 17602,  23454
47, 5899,  11751
11751, 17603,  23455
48, 5900,  11752
11752, 17604,  23456
49, 5901,  11753
11753, 17605,  23457
50, 5902,  11754
11754, 17606,  23458
51, 5903,  11755
11755, 17607,  23459
52, 5904,  11756
11756, 17608,  23460
53, 5905,  11757
11757, 17609,  23461
54, 5906,  11758
11758, 17610,  23462
55, 5907,  11759
11759, 17611,  23463
56, 5908,  11760
11760, 17612,  23464
57, 5909,  11761
11761, 17613,  23465
58, 5910,  11762
11762, 17614,  23466
59, 5911,  11763
11763, 17615,  23467
60, 5912,  11764
11764, 17616,  23468
61, 5913,  11765
11765, 17617,  23469
62, 5914,  11766
11766, 17618,  23470
63, 5915,  11767
11767, 17619,  23471
64, 5916,  11768
11768, 17620,  23472
65, 5917,  11769
11769, 17621,  23473
66, 5918,  11770
11770, 17622,  23474
67, 5919,  11771
11771, 17623,  23475
68, 5920,  11772
11772, 17624,  23476
69, 5921,  11773
11773, 17625,  23477
70, 5922,  11774
11774, 17626,  23478
71, 5923,  11775
11775, 17627,  23479
72, 5924,  11776
11776, 17628,  23480
73, 5925,  11777
11777, 17629,  23481
74, 5926,  11778
11778, 17630,  23482
75, 5927,  11779
11779, 17631,  23483
76, 5928,  11780
11780, 17632,  23484
77, 5929,  11781
11781, 17633,  23485
78, 5930,  11782
11782, 17634,  23486
79, 5931,  11783
11783, 17635,  23487
80, 5932,  11784
11784, 17636,  23488
81, 5933,  11785
11785, 17637,  23489
82, 5934,  11786
11786, 17638,  23490
83, 5935,  11787
11787, 17639,  23491
84, 5936,  11788
11788, 17640,  23492
85, 5937,  11789
11789, 17641,  23493
86, 5938,  11790
11790, 17642,  23494
87, 5939,  11791
11791, 17643,  23495
88, 5940,  11792
11792, 17644,  23496
89, 5941,  11793
11793, 17645,  23497
90, 5942,  11794
11794, 17646,  23498
91, 5943,  11795
11795, 17647,  23499
92, 5944,  11796
11796, 17648,  23500
93, 5945,  11797
11797, 17649,  23501
94, 5946,  11798
11798, 17650,  23502
95, 5947,  11799
11799, 17651,  23503
96, 5948,  11800
11800, 17652,  23504
97, 5949,  11801
11801, 17653,  23505
98, 5950,  11802
11802, 17654,  23506
99, 5951,  11803
11803, 17655,  23507
100, 5952,  11804
11804, 17656,  23508
101, 5953,  11805
11805, 17657,  23509
102, 5954,  11806
11806, 17658,  23510
103, 5955,  11807
11807, 17659,  23511
104, 5956,  11808
11808, 17660,  23512
105, 5957,  11809
11809, 17661,  23513
106, 5958,  11810
11810, 17662,  23514
107, 5959,  11811
11811, 17663,  23515
108, 5960,  11812
11812, 17664,  23516
109, 5961,  11813
11813, 17665,  23517
110, 5962,  11814
11814, 17666,  23518
111, 5963,  11815
11815, 17667,  23519
112, 5964,  11816
11816, 17668,  23520
113, 5965,  11817
11817, 17669,  23521
114, 5966,  11818
11818, 17670,  23522
115, 5967,  11819
11819, 17671,  23523
116, 5968,  11820
11820, 17672,  23524
117, 5969,  11821
11821, 17673,  23525
118, 5970,  11822
11822, 17674,  23526
119, 5971,  11823
11823, 17675,  23527
120, 5972,  11824
11824, 17676,  23528
121, 5973,  11825
11825, 17677,  23529
122, 5974,  11826
11826, 17678,  23530
123, 5975,  11827
11827, 17679,  23531
124, 5976,  11828
11828, 17680,  23532
125, 5977,  11829
11829, 17681,  23533
126, 5978,  11830
11830, 17682,  23534
127, 5979,  11831
11831, 17683,  23535
128, 5980,  11832
11832, 17684,  23536
129, 5981,  11833
11833, 17685,  23537
130, 5982,  11834
11834, 17686,  23538
131, 5983,  11835
11835, 17687,  23539
132, 5984,  11836
11836, 17688,  23540
133, 5985,  11837
11837, 17689,  23541
134, 5986,  11838
11838, 17690,  23542
135, 5987,  11839
11839, 17691,  23543
136, 5988,  11840
11840, 17692,  23544
137, 5989,  11841
11841, 17693,  23545
138, 5990,  11842
11842, 17694,  23546
139, 5991,  11843
11843, 17695,  23547
140, 5992,  11844
11844, 17696,  23548
141, 5993,  11845
11845, 17697,  23549
142, 5994,  11846
11846, 17698,  23550
143, 5995,  11847
11847, 17699,  23551
144, 5996,  11848
11848, 17700,  23552
145, 5997,  11849
11849, 17701,  23553
146, 5998,  11850
11850, 17702,  23554
147, 5999,  11851
11851, 17703,  23555
148, 6000,  11852
11852, 17704,  23556
149, 6001,  11853
11853, 17705,  23557
150, 6002,  11854
11854, 17706,  23558
151, 6003,  11855
11855, 17707,  23559
152, 6004,  11856
11856, 17708,  23560
153, 6005,  11857
11857, 17709,  23561
154, 6006,  11858
11858, 17710,  23562
155, 6007,  11859
11859, 17711,  23563
156, 6008,  11860
11860, 17712,  23564
157, 6009,  11861
11861, 17713,  23565
158, 6010,  11862
11862, 17714,  23566
159, 6011,  11863
11863, 17715,  23567
160, 6012,  11864
11864, 17716,  23568
161, 6013,  11865
11865, 17717,  23569
162, 6014,  11866
11866, 17718,  23570
163, 6015,  11867
11867, 17719,  23571
164, 6016,  11868
11868, 17720,  23572
165, 6017,  11869
11869, 17721,  23573
166, 6018,  11870
11870, 17722,  23574
167, 6019,  11871
11871, 17723,  23575
168, 6020,  11872
11872, 17724,  23576
169, 6021,  11873
11873, 17725,  23577
170, 6022,  11874
11874, 17726,  23578
171, 6023,  11875
11875, 17727,  23579
172, 6024,  11876
11876, 17728,  23580
173, 6025,  11877
11877, 17729,  23581
174, 6026,  11878
11878, 17730,  23582
175, 6027,  11879
11879, 17731,  23583
176, 6028,  11880
11880, 17732,  23584
177, 6029,  11881
11881, 17733,  23585
178, 6030,  11882
11882, 17734,  23586
179, 6031,  11883
11883, 17735,  23587
180, 6032,  11884
11884, 17736,  23588
181, 6033,  11885
11885, 17737,  23589
182, 6034,  11886
11886, 17738,  23590
183, 6035,  11887
11887, 17739,  23591
184, 6036,  11888
11888, 17740,  23592
185, 6037,  11889
11889, 17741,  23593
186, 6038,  11890
11890, 17742,  23594
187, 6039,  11891
11891, 17743,  23595
188, 6040,  11892
11892, 17744,  23596
189, 6041,  11893
11893, 17745,  23597
190, 6042,  11894
11894, 17746,  23598
191, 6043,  11895
11895, 17747,  23599
192, 6044,  11896
11896, 17748,  23600
193, 6045,  11897
11897, 17749,  23601
194, 6046,  11898
11898, 17750,  23602
195, 6047,  11899
11899, 17751,  23603
196, 6048,  11900
11900, 17752,  23604
197, 6049,  11901
11901, 17753,  23605
198, 6050,  11902
11902, 17754,  23606
199, 6051,  11903
11903, 17755,  23607
200, 6052,  11904
11904, 17756,  23608
201, 6053,  11905
11905, 17757,  23609
202, 6054,  11906
11906, 17758,  23610
203, 6055,  11907
11907, 17759,  23611
204, 6056,  11908
11908, 17760,  23612
205, 6057,  11909
11909, 17761,  23613
206, 6058,  11910
11910, 17762,  23614
207, 6059,  11911
11911, 17763,  23615
208, 6060,  11912
11912, 17764,  23616
209, 6061,  11913
11913, 17765,  23617
210, 6062,  11914
11914, 17766,  23618
211, 6063,  11915
11915, 17767,  23619
212, 6064,  11916
11916, 17768,  23620
213, 6065,  11917
11917, 17769,  23621
214, 6066,  11918
11918, 17770,  23622
215, 6067,  11919
11919, 17771,  23623
216, 6068,  11920
11920, 17772,  23624
217, 6069,  11921
11921, 17773,  23625
218, 6070,  11922
11922, 17774,  23626
219, 6071,  11923
11923, 17775,  23627
220, 6072,  11924
11924, 17776,  23628
221, 6073,  11925
11925, 17777,  23629
222, 6074,  11926
11926, 17778,  23630
223, 6075,  11927
11927, 17779,  23631
224, 6076,  11928
11928, 17780,  23632
225, 6077,  11929
11929, 17781,  23633
226, 6078,  11930
11930, 17782,  23634
227, 6079,  11931
11931, 17783,  23635
228, 6080,  11932
11932, 17784,  23636
229, 6081,  11933
11933, 17785,  23637
230, 6082,  11934
11934, 17786,  23638
231, 6083,  11935
11935, 17787,  23639
232, 6084,  11936
11936, 17788,  23640
233, 6085,  11937
11937, 17789,  23641
234, 6086,  11938
11938, 17790,  23642
235, 6087,  11939
11939, 17791,  23643
236, 6088,  11940
11940, 17792,  23644
237, 6089,  11941
11941, 17793,  23645
238, 6090,  11942
11942, 17794,  23646
239, 6091,  11943
11943, 17795,  23647
240, 6092,  11944
11944, 17796,  23648
241, 6093,  11945
11945, 17797,  23649
242, 6094,  11946
11946, 17798,  23650
243, 6095,  11947
11947, 17799,  23651
244, 6096,  11948
11948, 17800,  23652
245, 6097,  11949
11949, 17801,  23653
246, 6098,  11950
11950, 17802,  23654
247, 6099,  11951
11951, 17803,  23655
248, 6100,  11952
11952, 17804,  23656
249, 6101,  11953
11953, 17805,  23657
250, 6102,  11954
11954, 17806,  23658
251, 6103,  11955
11955, 17807,  23659
252, 6104,  11956
11956, 17808,  23660
253, 6105,  11957
11957, 17809,  23661
254, 6106,  11958
11958, 17810,  23662
255, 6107,  11959
11959, 17811,  23663
256, 6108,  11960
11960, 17812,  23664
257, 6109,  11961
11961, 17813,  23665
258, 6110,  11962
11962, 17814,  23666
259, 6111,  11963
11963, 17815,  23667
260, 6112,  11964
11964, 17816,  23668
261, 6113,  11965
11965, 17817,  23669
262, 6114,  11966
11966, 17818,  23670
263, 6115,  11967
11967, 17819,  23671
264, 6116,  11968
11968, 17820,  23672
265, 6117,  11969
11969, 17821,  23673
266, 6118,  11970
11970, 17822,  23674
267, 6119,  11971
11971, 17823,  23675
268, 6120,  11972
11972, 17824,  23676
269, 6121,  11973
11973, 17825,  23677
270, 6122,  11974
11974, 17826,  23678
271, 6123,  11975
11975, 17827,  23679
272, 6124,  11976
11976, 17828,  23680
273, 6125,  11977
11977, 17829,  23681
274, 6126,  11978
11978, 17830,  23682
275, 6127,  11979
11979, 17831,  23683
276, 6128,  11980
11980, 17832,  23684
277, 6129,  11981
11981, 17833,  23685
278, 6130,  11982
